01001	01001
01001	010010000
01001000	010010000000
01002	01002
01002	010020000
01002000	010020000000
01003	01003
01003	010030000
01003000	010030000000
01004	01004
01004	010040000
01004000	010040000000
01051	01051
01051	010510011
01051011	010510011011
01051	010510044
01051044	010510044044
01051	010515163
01051003	010515163003
01051010	010515163010
01051012	010515163012
01051016	010515163016
01051022	010515163022
01051024	010515163024
01051026	010515163026
01051032	010515163032
01051037	010515163037
01051051	010515163051
01051064	010515163064
01051089	010515163089
01051097	010515163097
01051110	010515163110
01051	010515166
01051021	010515166021
01051034	010515166034
01051046	010515166046
01051057	010515166057
01051062	010515166062
01051072	010515166072
01051073	010515166073
01051076	010515166076
01051077	010515166077
01051090	010515166090
01051103	010515166103
01051118	010515166118
01051119	010515166119
01051	010515169
01051005	010515169005
01051008	010515169008
01051019	010515169019
01051020	010515169020
01051023	010515169023
01051030	010515169030
01051035	010515169035
01051036	010515169036
01051038	010515169038
01051047	010515169047
01051049	010515169049
01051052	010515169052
01051053	010515169053
01051058	010515169058
01051060	010515169060
01051061	010515169061
01051065	010515169065
01051068	010515169068
01051071	010515169071
01051080	010515169080
01051088	010515169088
01051092	010515169092
01051096	010515169096
01051100	010515169100
01051102	010515169102
01051114	010515169114
01051117	010515169117
01051120	010515169120
01051125	010515169125
01051131	010515169131
01051133	010515169133
01051136	010515169136
01051139	010515169139
01051141	010515169141
01051	010515172
01051048	010515172048
01051067	010515172067
01051069	010515172069
01051075	010515172075
01051081	010515172081
01051082	010515172082
01051087	010515172087
01051107	010515172107
01051113	010515172113
01051122	010515172122
01051130	010515172130
01051	010515175
01051001	010515175001
01051002	010515175002
01051004	010515175004
01051006	010515175006
01051015	010515175015
01051017	010515175017
01051027	010515175027
01051028	010515175028
01051039	010515175039
01051054	010515175054
01051063	010515175063
01051074	010515175074
01051078	010515175078
01051083	010515175083
01051085	010515175085
01051086	010515175086
01051098	010515175098
01051099	010515175099
01051104	010515175104
01051126	010515175126
01051134	010515175134
01051135	010515175135
01051137	010515175137
01051138	010515175138
01051	010515178
01051013	010515178013
01051014	010515178014
01051033	010515178033
01051043	010515178043
01051045	010515178045
01051050	010515178050
01051079	010515178079
01051084	010515178084
01051093	010515178093
01051105	010515178105
01051108	010515178108
01051109	010515178109
01051121	010515178121
01051127	010515178127
01051128	010515178128
01051129	010515178129
01051132	010515178132
01051140	010515178140
01053	01053
01053	010530032
01053032	010530032032
01053	010530083
01053083	010530083083
01053	010530090
01053090	010530090090
01053	010530100
01053100	010530100100
01053	010530116
01053116	010530116116
01053	010530129
01053129	010530129129
01053	010535308
01053008	010535308008
01053009	010535308009
01053011	010535308011
01053024	010535308024
01053034	010535308034
01053061	010535308061
01053067	010535308067
01053075	010535308075
01053094	010535308094
01053103	010535308103
01053120	010535308120
01053	010535313
01053002	010535313002
01053005	010535313005
01053013	010535313013
01053014	010535313014
01053037	010535313037
01053056	010535313056
01053084	010535313084
01053095	010535313095
01053113	010535313113
01053125	010535313125
01053134	010535313134
01053	010535318
01053010	010535318010
01053015	010535318015
01053020	010535318020
01053029	010535318029
01053035	010535318035
01053046	010535318046
01053048	010535318048
01053064	010535318064
01053080	010535318080
01053092	010535318092
01053104	010535318104
01053115	010535318115
01053119	010535318119
01053126	010535318126
01053132	010535318132
01053	010535323
01053003	010535323003
01053012	010535323012
01053023	010535323023
01053028	010535323028
01053050	010535323050
01053053	010535323053
01053072	010535323072
01053131	010535323131
01053133	010535323133
01053135	010535323135
01053	010535343
01053006	010535343006
01053019	010535343019
01053022	010535343022
01053058	010535343058
01053073	010535343073
01053074	010535343074
01053082	010535343082
01053087	010535343087
01053111	010535343111
01053128	010535343128
01053	010535358
01053001	010535358001
01053004	010535358004
01053016	010535358016
01053018	010535358018
01053026	010535358026
01053030	010535358030
01053033	010535358033
01053040	010535358040
01053041	010535358041
01053043	010535358043
01053051	010535358051
01053054	010535358054
01053057	010535358057
01053062	010535358062
01053066	010535358066
01053078	010535358078
01053088	010535358088
01053093	010535358093
01053098	010535358098
01053102	010535358102
01053107	010535358107
01053110	010535358110
01053117	010535358117
01053123	010535358123
01053136	010535358136
01053	010535373
01053007	010535373007
01053017	010535373017
01053021	010535373021
01053027	010535373027
01053031	010535373031
01053036	010535373036
01053042	010535373042
01053045	010535373045
01053047	010535373047
01053049	010535373049
01053052	010535373052
01053059	010535373059
01053060	010535373060
01053070	010535373070
01053071	010535373071
01053076	010535373076
01053089	010535373089
01053091	010535373091
01053106	010535373106
01053	010535391
01053025	010535391025
01053038	010535391038
01053039	010535391039
01053044	010535391044
01053068	010535391068
01053069	010535391069
01053077	010535391077
01053079	010535391079
01053081	010535391081
01053085	010535391085
01053086	010535391086
01053096	010535391096
01053097	010535391097
01053099	010535391099
01053101	010535391101
01053108	010535391108
01053109	010535391109
01053112	010535391112
01053114	010535391114
01053118	010535391118
01053121	010535391121
01053122	010535391122
01053124	010535391124
01053127	010535391127
01053130	010535391130
01053	010539105
01053105	010539105105
01054	01054
