LibraryName	DBS-ID	RS	OCLCRegistry	OCLC	LibraryID
Bibliothek der BA Villingen-Schwenningen					38758
Bibliothek der BbS Conrad Tack	GT392	150860015015			204693
Bibliothek der Dr.-Hanns-Simon-Stiftung	GM110	72320018018			206238
Bibliothek der Evangelische Kindertagesstätte	LB213	33550022022			203345
Bibliothek der Evangelische-luth. Kirchengemeinde	TH980	65310009009			204344
Bibliothek der Evangelischen Hochschule für Soziale Arbeit Dresden					61497
Bibliothek der Gemeinde Kall	LR708	53660024024			206166
Bibliothek der Hansestadt Lübeck	GB291	10030000000			203416
Bibliothek der HfTL					61499
Bibliothek der HfTL					61500
Bibliothek der Hochschule für Technik, Wirtschaft und Kultur Leipzig					59157
Bibliothek der Hochschule für Technik, Wirtschaft und Kultur Leipzig					61494
Bibliothek der IGS und Samtgemeinde Fürstenau	GX113	34595403017			205604
Bibliothek der Kirchengemeinde Berumerfehn	GL816	34520007007			203631
Bibliothek der Kirchengemeinde Ströhen	TL580	32510044044			205557
Bibliothek der Rosa Luxemburg Stiftung					198156
Bibliothek der Staatlichen Studienakademie Leipzig					61498
Bibliothek der Stadt Heldrungen	WK586	160655001033			202752
Bibliothek der Stadt Homberg und der Ohmtalschule	HL263	65350009009			204329
Bibliothek der Stadt Ilmenau	WB216	160700029029			210479
Bibliothek der Stadt Prettin	WK148	150910010010			202794
Bibliothek der TSB					210701
Bibliothek der Verwaltungsgemeinschaft Bad Tennstedt	WL426	160645001004			210564
Bibliothek der Verwaltungsgemeinschaft Gera-Aue	WL219	160685002014			210493
Bibliothek der Volksbund Deutsche Kriegsgräberfürsorge					63902
Bibliothek Dermbach	WM297	160635004015			204485
Bibliothek des Amtes Neuhardenberg	WH735	120645410340			203124
Bibliothek des FHI					200888
Bibliothek des FIR					210780
Bibliothek des Forschungszentrums Dresden-Rossendorf					61493
Bibliothek des Hauses der Heimat					147104
Bibliothek des Mathematischen Forschungsinstituts Oberwolfach					DEMFO64862
Bibliothek des Max-Delbrück-Centrums für molekulare Medizin Berlin-Buch					199991
Bibliothek des Pro Regio e. V. Deutzen					61378
Bibliothek des Seminars fuer Geistesgeschichte und Philosophie der Renaissance					4171
Bibliothek des Staatlichen Seminars für Didaktik und Lehrerbildung (Gymnasien) Esslingen					62117
Bibliothek des Staatlichen Seminars für Didaktik und Lehrerbildung Stuttgart					58104
Bibliothek des Wissenschaftsparks Albert Einstein				35203	4WQ196965
Bibliothek Diesdorf	WK458	150815051105			203815
Bibliothek Dokumentations- und Kulturzentrum Deutscher Sinti und Roma					199951
Bibliothek Egidienplatz					61194
Bibliothek Eibau	WM911	146260245245			202508
Bibliothek Fehrenbach	YC840	160690061061			210473
Bibliothek Ferdinandshof	WG895	130755559033			203256
Bibliothek für Schwäbische Mundartdichtung Weilheim an der Teck		81165008070			207833
Bibliothek Gamstädt	UQ256	160670087087			210494
Bibliothek Gedenkstätte Buchenwald					198581
Bibliothek Geratal	WM418	160705002019			210483
Bibliothek Gerstetten	KQ012	81350015015			209418
Bibliothek Gerstungen	WL141	160630097097			210545
Bibliothek Gohlis					61044
Bibliothek Gorbitz					61338
Bibliothek Großauheim					196899
Bibliothek Großauheim		64350014014			206880
Bibliothek Gruna					61339
Bibliothek Grünau-Mitte					61045
Bibliothek Grünau-Nord					61046
Bibliothek Grünau-Süd					61047
Bibliothek Haagen	LO795	83365003050			208435
Bibliothek Hauingen	HA795	83365003050			208436
Bibliothek Haus des Gastes	ML273	130755561058			203260
Bibliothek Havelberg	HA558	150900225225			204732
Bibliothek Heiligengrabe OT Blumenthal, Grundschule Blumenthal	BB216	120700125125			203222
Bibliothek Heimatverein Thal	HK726	160635057066			210547
Bibliothek Heubach	YD005	160690061061			210474
Bibliothek Holzhausen					61048
Bibliothek Hoym	UF691	150890307307			202729
Bibliothek Im Alten Torhaus	ND168	94765433180			210099
Bibliothek im Alten Torhaus		94765433180			210101
Bibliothek im Beruflichen Schulzentrum Backnang	BG558	81195001008			207621
Bibliothek im Beruflichen Schulzentrum Ludwigsburg/Kornwestheim	GK459	81180048048			207636
Bibliothek im Bildungszentrum Weissacher Tal	GN680	81195001083			207630
Bibliothek im Griepe-Haus Bad Bevensen	HD645	33605407002			203823
Bibliothek im Klinikum Neumarkt	GF260	93730147147			209655
Bibliothek im Kontor Wittstock	AL510	120680468468			203221
Bibliothek im Kulturhaus Gemünden	HD827	96770131131			210355
Bibliothek im Kurhaus	WN307	147295301010			202605
Bibliothek im Medienforum Bersenbrück	GD810	34595402010			205609
Bibliothek im Rathaus der Verwaltungsgemeinschaft	WL372	160615012097			204531
Bibliothek im Zejler-Smoler-Haus	WH954	146250330330			202549
