?item	?itemLabel	?isil	?gndId	?dbsId
http://www.wikidata.org/entity/Q113515396	Biblioteca Emilio Albino di Genova	IT-GE0397	
http://www.wikidata.org/entity/Q113515397	Servizio di documentazione scientifica dell'Area della ricerca di Genova del Consiglio nazionale delle ricerche	IT-GE0398	
http://www.wikidata.org/entity/Q113515421	Biblioteca dell'Istituto sperimentale talassografico. CNR	IT-ME0351	
http://www.wikidata.org/entity/Q113515442	Biblioteca dell'Area della ricerca di Milano. ARM del CNR	IT-MI0500	
http://www.wikidata.org/entity/Q113515444	Biblioteca dell'Istituto per la Scienza e Tecnologia Dei Plasmi del Cnr	IT-MI0536	
http://www.wikidata.org/entity/Q113515452	Biblioteca dell'Istituto per lo studio delle macromolecole del CNR	IT-MI0743	
http://www.wikidata.org/entity/Q113515455	Biblioteca dell'Istituto di Astrofisica Spaziale e Fisica Cosmica Milano, Inaf	IT-MI0757	
http://www.wikidata.org/entity/Q113515468	Biblioteca dell'Istituto per l'energetica e le interfasi. ex IENI del CNR ora ICMATE	IT-MI0976	
http://www.wikidata.org/entity/Q113515475	Biblioteca dell'Istituto di matematica applicata e tecnologie informatiche del CNR	IT-MI1095	
http://www.wikidata.org/entity/Q113515509	Biblioteca dell'istituto di Scienze Applicate e Sistemi Intelligenti	IT-NA0212	
http://www.wikidata.org/entity/Q113515510	Biblioteca dell'Istituto di Chimica Biomolecolare del CNR	IT-NA0213	
http://www.wikidata.org/entity/Q113515516	Istituto per le Applicazioni del Calcolo \"M. Picone\	IT-NA0449	
http://www.wikidata.org/entity/Q113515517	Biblioteca dell'Istituto di Scienze e Tecnologie per l'Energia e la Mobilità Sostenibile (STEMS)	IT-NA0454	
http://www.wikidata.org/entity/Q113515518	Biblioteca dell'Istituto per il rilevamento elettromagnetico dell'ambiente -IREA del CNR	IT-NA0458	
http://www.wikidata.org/entity/Q113515537	Biblioteca del Centro di studi per il miglioramento genetico degli agrumi	IT-PA0339	
http://www.wikidata.org/entity/Q113515540	Biblioteca dell'Area della ricerca di Palermo \"Peppino Manzo\". CNR	IT-PA0695	
http://www.wikidata.org/entity/Q113515549	Biblioteca dell'Istituto di gas ionizzati del CNR	IT-PD0376	
http://www.wikidata.org/entity/Q113515552	Biblioteca dell'Istituto di Neuroscienze del CNR	IT-PD0413	
http://www.wikidata.org/entity/Q113515553	Biblioteca della Sede Secondaria di Padova dell'Istituto di Ricerca per la Protezione Idrogeologica	IT-PD0414	
http://www.wikidata.org/entity/Q113515554	Biblioteca dell'Istituto per le Tecnologie della Costruzione del CNR	IT-PD0415	
http://www.wikidata.org/entity/Q113515555	Biblioteca Cnr-Icmate: Istituto di Chimica della Materia Condensata e di Tecnologie per l'Energia	IT-PD0416	
http://www.wikidata.org/entity/Q113515556	Biblioteca dell'Area della ricerca di Padova del CNR	IT-PD0419	
http://www.wikidata.org/entity/Q113515565	Biblioteca Istituto Linguistica Computazionale A. Zampolli	IT-PI0392	
http://www.wikidata.org/entity/Q113515578	Biblioteca dell'istituto di matematica applicata e tecnologie informatiche \"E. Magenes\". IMATI. CNR	IT-PV0508	
http://www.wikidata.org/entity/Q113515603	Biblioteca dell'Istituto di Ingegneria del Mare. CNR	IT-RM0126	
http://www.wikidata.org/entity/Q113515636	Biblioteca dell'Istituto di Fotonica e Nanotecnologie Sede di Roma	IT-RM0749	
http://www.wikidata.org/entity/Q113515637	Biblioteca dell'Istituto di cromatografia del Consiglio nazionale delle ricerche	IT-RM0750	
http://www.wikidata.org/entity/Q113515638	Biblioteca dell'Istituto per le applicazioni del calcolo \"Mauro Picone\". CNR	IT-RM0761	
http://www.wikidata.org/entity/Q113515639	Biblioteca del Centro di studio sulle cause di deperimento e sui metodi di conservazione delle opere d'arte del Consiglio nazionale delle ricerche	IT-RM0762	
http://www.wikidata.org/entity/Q113515640	Biblioteca dell'Istituto di studi sulla ricerca e documentazione scientifica del Consiglio nazionale delle ricerche	IT-RM0763	
http://www.wikidata.org/entity/Q113515667	Biblioteca dell'Area della ricerca di Roma 1. Montelibretti. Consiglio Nazionale delle Ricerche	IT-RM1299	
http://www.wikidata.org/entity/Q113515681	Biblioteca dell'Area di ricerca del CNR di Roma 2	IT-RM1901	
http://www.wikidata.org/entity/Q113515683	Biblioteca dell'Istituto di studi sui Sistemi regionali federali e sulle Autonomie \"Massimo Severo Giannini\". CNR	IT-RM2052	
http://www.wikidata.org/entity/Q113515684	Biblioteca dell'Istituto di Scienze del Patrimonio culturale. Area Ricerca RM1. CNR	IT-RM2053	
http://www.wikidata.org/entity/Q113515685	Biblioteca dell'Istituto per il Lessico Intellettuale Europeo e Storia delle Idee. CNR	IT-RM2054	
http://www.wikidata.org/entity/Q113515686	Biblioteca dell'Istituto di scienze e tecnologie della cognizione \"Raffaello Misiti\". CNR	IT-RM2055	
http://www.wikidata.org/entity/Q113515687	Biblioteca dell'Istituto di geologia ambientale e geoingegneria. CNR	IT-RM2056	
http://www.wikidata.org/entity/Q113515688	Biblioteca dell'Istituto di ricerche sulla popolazione e le politiche sociali. CNR	IT-RM2057	
http://www.wikidata.org/entity/Q113515713	Biblioteca dell'Istituto per la BioEconomia del CNR. già Biblioteca dell'Istituto per la Valorizzazione del Legno e delle Specie Arboree. IVALSA	IT-TN0152	
http://www.wikidata.org/entity/Q113515748	Biblioteca dell'Istituto di ricerca sulla crescita economica sostenibile. IRCRES	IT-TO0819	
http://www.wikidata.org/entity/Q113528717	Biblioteca ISMed Istituto di Studi sul Mediterraneo	IT-NA0452	
http://www.wikidata.org/entity/Q113528718	Biblioteca dell’Istituto per la storia del pensiero filosofico e scientifico moderno del Consiglio nazionale delle ricerche	IT-NA0453	
